,Tissue,Gene Symbol,Start Stage,End Stage,PMID,Authors,Title,Journal,Year,Initiator,Owner,Homemade
0,heart primordium,has2,Segmentation:14-19 somites,Segmentation:14-19 somites,48088,"Smith, K.A., Chocron, S., von der Hardt, S., de Pater, E., Soufan, A., Bussmann, J., Schulte-Merker, S., Hammerschmidt, M., and Bakkers, J.",Rotation and asymmetric development of the zebrafish heart requires directed migration of cardiac progenitor cells,Developmental Cell,2008,B2,AM,False
1,heart primordium,has2,Segmentation:14-19 somites,Segmentation:14-19 somites,0,0,0,0,0,B2,AM,False
2,heart primordium,fn1a,Segmentation:14-19 somites,Segmentation:14-19 somites,31354,"Langenbacher, A.D., Huang, J., Chen, Y., and Chen, J.N.",Sodium pump activity in the yolk syncytial layer regulates zebrafish heart tube morphogenesis,Developmental Biology,2012,B4,SN,False
3,heart primordium,fn1a,Segmentation:20-25 somites,Segmentation:20-25 somites,34625,"Sakaguchi, T., Kikuchi, Y., Kuroiwa, A., Takeda, H., and Stainier, D.Y.",The yolk syncytial layer regulates myocardial migration by influencing extracellular matrix assembly in zebrafish,"Development (Cambridge, England)",2006,B4,SN,False
4,heart primordium,spock3,Segmentation:14-19 somites,Segmentation:14-19 somites,0,0,0,0,0,B5,NO,True
5,heart rudiment,has2,Segmentation:20-25 somites,Pharyngula:Prim-5,0,0,0,0,0,B2,AM,False
6,heart rudiment,has2,Segmentation:26+ somites,Segmentation:26+ somites,48088,"Smith, K.A., Chocron, S., von der Hardt, S., de Pater, E., Soufan, A., Bussmann, J., Schulte-Merker, S., Hammerschmidt, M., and Bakkers, J.",Rotation and asymmetric development of the zebrafish heart requires directed migration of cardiac progenitor cells,Developmental Cell,2008,B2,AM,False
7,heart rudiment,has2,Segmentation:20-25 somites,Segmentation:20-25 somites,37471,"Veerkamp, J., Rudolph, F., Cseresnyes, Z., Priller, F., Otten, C., Renz, M., Schaefer, L., and Abdelilah-Seyfried, S.",Unilateral dampening of bmp activity by nodal generates cardiac left-right asymmetry,Developmental Cell,2013,B2,AM,False
8,heart rudiment,has2,Segmentation:20-25 somites,Segmentation:20-25 somites,48088,"Smith, K.A., Chocron, S., von der Hardt, S., de Pater, E., Soufan, A., Bussmann, J., Schulte-Merker, S., Hammerschmidt, M., and Bakkers, J.",Rotation and asymmetric development of the zebrafish heart requires directed migration of cardiac progenitor cells,Developmental Cell,2008,B2,AM,False
9,heart rudiment,kdrl,Segmentation:20-25 somites,Segmentation:20-25 somites,39690,"Holtzman, N.G., Schoenebeck, J.J., Tsai, H.J., and Yelon, D.",Endocardium is necessary for cardiomyocyte movement during heart tube assembly,"Development (Cambridge, England)",2007,B4,NO,True
10,heart rudiment,fn1a,Segmentation:20-25 somites,Segmentation:20-25 somites,31354,"Langenbacher, A.D., Huang, J., Chen, Y., and Chen, J.N.",Sodium pump activity in the yolk syncytial layer regulates zebrafish heart tube morphogenesis,Developmental Biology,2012,B4,SN,False
11,heart rudiment,spock3,Segmentation:20-25 somites,Pharyngula:Prim-5,0,0,0,0,0,B5,NO,True
12,heart tube,iqgap2,Pharyngula:Prim-5,Pharyngula:Prim-5,6273,"Fang, X., Zhang, B., Thisse, B., Bloom, G.S., Thisse, C.",IQGAP3 Is Essential for Cell Proliferation and Motility During Zebrafish Embryonic Development,"Cytoskeleton (Hoboken, N.J.)",2015,B1,NO,True
13,heart tube,cdh2,Pharyngula:Prim-25,Pharyngula:Prim-25,8237,"Bagatto, B., Francl, J., Liu, B., and Liu, Q.",Cadherin2 (N-cadherin) plays an essential role in zebrafish cardiovascular development,BMC Developmental Biology,2006,B2,TT,False
14,heart tube,has2,Pharyngula:Prim-15,Pharyngula:Prim-15,51305,"Tong, X., Zu, Y., Li, Z., Li, W., Ying, L., Yang, J., Wang, X., He, S., Liu, D., Zhu, Z., Chen, J., Lin, S., and Zhang, B.",Kctd10 regulates heart morphogenesis by repressing the transcriptional activity of Tbx5a in zebrafish,Nature communications,2014,B2,AM,False
15,heart tube,ugdh,Pharyngula:Prim-25,Pharyngula:Prim-25,64693,"Walsh, E.C. and Stainier, D.Y.",UDP-glucose dehydrogenase required for cardiac valve formation in zebrafish,"Science (New York, N.Y.)",2001,B2,AM,False
16,heart tube,si:dkey-261h17.1,Pharyngula:Prim-15,Pharyngula:Prim-25,0,0,0,0,0,B4,SN,False
